CellType	DiseaseTissue	Ident1	Ident2	Gene	Log2FC	pval	padj	stat
Cycling_TA	UC_R	I	NI	PAK6	-0.7785	0.01657	0.3938	-2.396
Cycling_TA	UC_R	I	NI	PHGR1	-1.416	0.01945	0.2921	-2.337
Cycling_TA	UC_R	I	NI	KNSTRN	0.4537	0.2899	1	1.058
Cycling_TA	UC_R	I	NI	IVD	0.1382	0.715	1	0.3651
Cycling_TA	UC_R	I	NI	BAHD1	-0.1196	0.8095	1	-0.2411
Cycling_TA	UC_R	I	NI	CCDC32	0.4195	0.3159	1	1.003
Cycling_TA	UC_R	I	NI	KNL1	0.5466	0.01362	0.1938	2.467
Cycling_TA	UC_R	I	NI	RAD51-AS1	-0.3663	0.3406	1	-0.953
Cycling_TA	UC_R	I	NI	RAD51	0.2715	0.3675	1	0.9011
Cycling_TA	UC_R	I	NI	RMDN3	0.02395	0.942	1	0.07272
Cycling_TA	UC_R	I	NI	DNAJC17	0.005056	0.9869	1	0.01648
Cycling_TA	UC_R	I	NI	ZFYVE19	-0.2045	0.7268	1	-0.3494
Cycling_TA	UC_R	I	NI	PPP1R14D	0.2812	0.5724	1	0.5645
Cycling_TA	UC_R	I	NI	SPINT1-AS1	0.2136	0.6595	1	0.4405
Cycling_TA	UC_R	I	NI	SPINT1	0.1549	0.7162	1	0.3636
Cycling_TA	UC_R	I	NI	INO80	0.3751	0.05579	0.3399	1.913
Cycling_TA	UC_R	I	NI	CHP1	-0.2044	0.5272	1	-0.6324
Cycling_TA	UC_R	I	NI	OIP5-AS1	0.4015	0.06572	0.4597	1.84
Cycling_TA	UC_R	I	NI	OIP5	0.5802	0.05535	0.5312	1.916
Cycling_TA	UC_R	I	NI	NUSAP1	0.6348	0.01182	0.1389	2.517
Cycling_TA	UC_R	I	NI	NDUFAF1	-0.407	0.4167	1	-0.8121
Cycling_TA	UC_R	I	NI	RTF1	0.1998	0.4384	1	0.7748
Cycling_TA	UC_R	I	NI	RPAP1	1.375	0.01891	0.4135	2.347
Cycling_TA	UC_R	I	NI	MGA	0.0794	0.6624	0.7194	0.4366
Cycling_TA	UC_R	I	NI	MAPKBP1	0.1284	0.7424	1	0.3287
Cycling_TA	UC_R	I	NI	EHD4	0.08638	0.7962	1	0.2583
Cycling_TA	UC_R	I	NI	VPS39	-0.1525	0.48	1	-0.7062
Cycling_TA	UC_R	I	NI	TMEM87A	-0.1154	0.4552	0.6297	-0.7468
Cycling_TA	UC_R	I	NI	GANC	-0.01656	0.9431	1	-0.07135
Cycling_TA	UC_R	I	NI	CAPN3	0.04722	0.9032	1	0.1216
Cycling_TA	UC_R	I	NI	ZNF106	0.6323	0.01832	0.2164	2.359
Cycling_TA	UC_R	I	NI	SNAP23	0.7314	0.03348	0.4744	2.126
Cycling_TA	UC_R	I	NI	AC018362.1	-0.4055	0.3306	1	-0.9729
Cycling_TA	UC_R	I	NI	LRRC57	-0.4172	0.4101	1	-0.8238
Cycling_TA	UC_R	I	NI	HAUS2	0.1155	0.7385	1	0.3339
Cycling_TA	UC_R	I	NI	STARD9	2.16	0.009967	0.5841	2.577
Cycling_TA	UC_R	I	NI	CDAN1	-0.1383	0.7932	1	-0.2622
Cycling_TA	UC_R	I	NI	TTBK2	-0.2615	0.326	0.9511	-0.9821
Cycling_TA	UC_R	I	NI	UBR1	0.07002	0.6927	0.7546	0.3952
Cycling_TA	UC_R	I	NI	AC068724.3	-0.2433	0.6875	1	-0.4022
Cycling_TA	UC_R	I	NI	TMEM62	0.1382	0.5195	0.7771	0.6441
