Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
NK cell	NK_cell	IFN-β	IFNb	Ptpn1	0.413639833	0.02345027	0.457	0.283
NK cell	NK_cell	IFN-β	IFNb	Crlf2	0.412792537	0.031437682	0.341	0.194
NK cell	NK_cell	IFN-β	IFNb	Slc35b1	0.410689023	0.024620157	0.209	0.088
NK cell	NK_cell	IFN-β	IFNb	Mrto4	0.40948173	0.00082793	0.279	0.116
NK cell	NK_cell	IFN-β	IFNb	Ebna1bp2	0.408328342	0.006303472	0.395	0.231
NK cell	NK_cell	IFN-β	IFNb	Mov10	0.406108738	5.8994E-05	0.186	0.049
NK cell	NK_cell	IFN-β	IFNb	Nolc1	0.400216239	0.006842527	0.287	0.14
NK cell	NK_cell	IFN-β	IFNb	Map2k1	0.399553563	0.003028528	0.209	0.074
NK cell	NK_cell	IFN-β	IFNb	Atp5f1	0.399115149	0.009599866	0.783	0.609
NK cell	NK_cell	IFN-β	IFNb	Cers6	0.398725838	0.00319988	0.186	0.069
NK cell	NK_cell	IFN-β	IFNb	Ptges3	0.396477592	0.037001124	0.419	0.247
NK cell	NK_cell	IFN-β	IFNb	Map3k8	0.394569753	0.002100757	0.264	0.111
NK cell	NK_cell	IFN-β	IFNb	Znfx1	0.393374407	7.96949E-05	0.178	0.049
NK cell	NK_cell	IFN-β	IFNb	H2-D1	0.39310407	3.41686E-08	1	0.997
NK cell	NK_cell	IFN-β	IFNb	Tcp1	0.392000961	0.044730879	0.457	0.306
NK cell	NK_cell	IFN-β	IFNb	Casp1	0.391626331	0.02646047	0.302	0.157
NK cell	NK_cell	IFN-β	IFNb	Rab8b	0.390503473	0.010407463	0.341	0.187
NK cell	NK_cell	IFN-β	IFNb	Tuba1c	0.390275906	0.044730879	0.264	0.141
NK cell	NK_cell	IFN-β	IFNb	Smndc1	0.390158736	0.020192942	0.318	0.162
NK cell	NK_cell	IFN-β	IFNb	Exosc3	0.389492836	0.012005781	0.349	0.18
NK cell	NK_cell	IFN-β	IFNb	Slfn1	0.389420967	0.013261869	0.116	0.032
NK cell	NK_cell	IFN-β	IFNb	Cntrl	0.387878028	0.049662583	0.364	0.221
NK cell	NK_cell	IFN-β	IFNb	Hectd1	0.38671643	0.001786202	0.62	0.374
NK cell	NK_cell	IFN-β	IFNb	Zfp593	0.383812621	0.007422402	0.24	0.108
NK cell	NK_cell	IFN-β	IFNb	Sipa1l1	0.383643068	2.88229E-05	0.256	0.093
NK cell	NK_cell	IFN-β	IFNb	Rel	0.381753307	0.004584267	0.225	0.096
NK cell	NK_cell	IFN-β	IFNb	Ube2a	0.381716336	0.008254623	0.333	0.173
NK cell	NK_cell	IFN-β	IFNb	Nhp2	0.379992726	0.024994944	0.395	0.237
NK cell	NK_cell	IFN-β	IFNb	Eloc	0.379072873	0.030413079	0.473	0.313
NK cell	NK_cell	IFN-β	IFNb	Sell	0.375061934	0.014567295	0.744	0.529
NK cell	NK_cell	IFN-β	IFNb	Dgat1	0.373931512	0.003817689	0.132	0.032
NK cell	NK_cell	IFN-β	IFNb	Tpm4	0.371610775	0.014084068	0.651	0.465
NK cell	NK_cell	IFN-β	IFNb	Fyn	0.370613556	0.030413079	0.62	0.407
