Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
B cell	B_cell	IL-18	IL18	Nrip1	0.524092251	9.78002E-08	0.227	0.07
B cell	B_cell	IL-18	IL18	Pla2g16	0.52365216	5.34136E-05	0.252	0.084
B cell	B_cell	IL-18	IL18	Stat3	0.522618541	8.81873E-05	0.326	0.151
B cell	B_cell	IL-18	IL18	Ctsc	0.505061991	0.003242837	0.421	0.226
B cell	B_cell	IL-18	IL18	Bst2	0.502932045	2.41013E-05	0.335	0.141
B cell	B_cell	IL-18	IL18	Nlrc5	0.500118823	4.74844E-09	0.178	0.037
B cell	B_cell	IL-18	IL18	B2m	0.479536901	2.14816E-11	0.992	0.897
B cell	B_cell	IL-18	IL18	Tgtp2	0.461632867	5.38245E-07	0.112	0.009
B cell	B_cell	IL-18	IL18	Hspa1a	0.457565271	6.40967E-06	0.24	0.089
B cell	B_cell	IL-18	IL18	Trim12c	0.455071263	0.000572585	0.347	0.148
B cell	B_cell	IL-18	IL18	H2-Q4	0.454086923	0.002377035	0.393	0.212
B cell	B_cell	IL-18	IL18	Ppa1	0.445693647	0.00013469	0.186	0.064
B cell	B_cell	IL-18	IL18	Phf11b	0.438725716	1.02534E-06	0.236	0.078
B cell	B_cell	IL-18	IL18	Pa2g4	0.42951503	0.001008335	0.269	0.125
B cell	B_cell	IL-18	IL18	Tap2	0.428974439	0.000266743	0.331	0.166
B cell	B_cell	IL-18	IL18	Slfn2	0.425760589	2.57655E-05	0.587	0.352
B cell	B_cell	IL-18	IL18	Got1	0.424520938	2.3911E-06	0.157	0.039
B cell	B_cell	IL-18	IL18	Rnase6	0.413330548	0.00401599	0.508	0.309
B cell	B_cell	IL-18	IL18	Gimap3	0.406715583	0.004604922	0.475	0.278
B cell	B_cell	IL-18	IL18	Gimap7	0.405530303	0.004779172	0.322	0.156
B cell	B_cell	IL-18	IL18	Gimap9	0.40144805	0.000384031	0.397	0.214
B cell	B_cell	IL-18	IL18	Idnk	0.400393857	0.004522796	0.285	0.142
B cell	B_cell	IL-18	IL18	Irgm2	0.39202022	1.47833E-07	0.112	0.013
B cell	B_cell	IL-18	IL18	Katna1	0.39146174	0.003413694	0.132	0.037
B cell	B_cell	IL-18	IL18	Ogfr	0.379498773	0.00206597	0.231	0.092
B cell	B_cell	IL-18	IL18	Irf9	0.372073055	0.025133684	0.223	0.1
B cell	B_cell	IL-18	IL18	Tapbpl	0.370684821	0.000545919	0.157	0.056
B cell	B_cell	IL-18	IL18	Psma5	0.355852127	0.000281598	0.372	0.194
B cell	B_cell	IL-18	IL18	Stat2	0.353357047	0.000880968	0.165	0.056
B cell	B_cell	IL-18	IL18	Dph3	0.353149549	0.003486264	0.264	0.126
B cell	B_cell	IL-18	IL18	Ffar1	0.347914331	0.001002884	0.223	0.1
B cell	B_cell	IL-18	IL18	Mpeg1	0.347760454	0.001364621	0.103	0.023
B cell	B_cell	IL-18	IL18	BC005561	0.344830926	0.000938181	0.194	0.074
B cell	B_cell	IL-18	IL18	Elk4	0.337645926	4.40918E-06	0.31	0.147
B cell	B_cell	IL-18	IL18	Agfg1	0.337230784	0.000190896	0.174	0.063
